size1;fvcnt1;size2;fvcnt2;cmnfvcnt;size;minsize
3;1;3;1;0;5;5
3;1;4;2;1;4;4
5;2;1;0;0;5;5
3;1;3;1;0;5;5
3;1;4;2;1;4;4
5;2;1;0;0;5;5
3;1;4;2;1;4;4
8;3;8;3;2;21;20
4;2;3;1;1;4;4
8;3;8;3;2;21;20
20;4;8;3;2;57;48
4;2;3;1;1;4;4
8;3;8;3;2;21;20
20;4;8;3;2;57;48
48;5;8;3;2;143;111
4;2;3;1;1;4;4
8;3;8;3;2;21;20
20;4;8;3;2;57;48
48;5;8;3;2;143;111
111;6;8;3;2;338;250
4;2;3;1;1;4;4
8;3;8;3;2;21;20
20;4;8;3;2;57;48
48;5;8;3;2;143;111
111;6;8;3;2;338;250
250;7;8;3;2;769;553
4;2;3;1;1;4;4
8;3;8;3;2;21;20
20;4;8;3;2;57;48
48;5;8;3;2;143;111
111;6;8;3;2;338;250
250;7;8;3;2;769;553
553;8;8;3;2;1708;1208
4;2;3;1;1;4;4
8;3;8;3;2;21;20
20;4;8;3;2;57;48
48;5;8;3;2;143;111
111;6;8;3;2;338;250
250;7;8;3;2;769;553
553;8;8;3;2;1708;1208
1208;9;8;3;2;3735;2615
4;2;3;1;1;4;4
8;3;8;3;2;21;20
20;4;8;3;2;57;48
48;5;8;3;2;143;111
111;6;8;3;2;338;250
250;7;8;3;2;769;553
553;8;8;3;2;1708;1208
1208;9;8;3;2;3735;2615
2615;10;8;3;2;8082;5622
4;2;3;1;1;4;4
8;3;8;3;2;21;20
20;4;8;3;2;57;48
48;5;8;3;2;143;111
111;6;8;3;2;338;250
250;7;8;3;2;769;553
553;8;8;3;2;1708;1208
1208;9;8;3;2;3735;2615
2615;10;8;3;2;8082;5622
5622;11;8;3;2;17357;12021
4;2;3;1;1;4;4
8;3;8;3;2;21;20
20;4;8;3;2;57;48
48;5;8;3;2;143;111
111;6;8;3;2;338;250
250;7;8;3;2;769;553
553;8;8;3;2;1708;1208
1208;9;8;3;2;3735;2615
2615;10;8;3;2;8082;5622
5622;11;8;3;2;17357;12021
12021;12;8;3;2;37064;25588
