size1;fvcnt1;size2;fvcnt2;cmnfvcnt;size;minsize
3;1;4;2;0;7;5
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
3;1;4;2;0;7;5
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
3;1;4;3;0;7;5
4;2;4;4;1;6;4
4;4;5;2;2;8;6
4;2;4;4;1;6;4
4;2;5;2;1;8;6
3;1;3;1;0;5;5
4;2;4;2;1;6;4
4;2;3;1;0;7;5
3;1;3;1;0;5;5
4;2;4;2;1;6;4
5;2;4;2;1;8;6
4;2;4;2;1;6;4
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
4;4;4;2;1;6;4
3;1;4;3;0;7;5
4;2;4;4;1;6;4
5;2;4;4;2;8;6
4;2;4;4;1;6;4
3;1;4;2;0;7;5
3;1;4;3;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
4;4;4;2;1;6;4
4;4;4;2;1;6;4
3;1;3;1;0;5;5
4;2;4;2;1;6;4
4;2;5;2;1;8;6
4;2;4;2;1;6;4
4;2;3;1;0;7;5
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
3;1;3;1;0;5;5
4;2;4;2;1;6;4
5;2;4;2;1;8;6
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
4;2;4;2;1;6;4
4;2;6;2;1;10;8
4;2;3;1;0;7;5
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
15;2;3;1;0;29;27
14;2;3;1;0;27;25
13;2;3;1;0;25;23
12;2;3;1;0;23;21
3;1;6;2;0;11;9
4;2;3;1;0;7;5
3;1;5;2;0;9;7
3;1;7;2;0;13;11
8;2;3;1;0;15;13
3;1;9;2;0;17;15
3;1;10;2;0;19;17
11;2;3;1;0;21;19
3;1;7;1;0;13;11
3;1;6;1;0;11;9
3;1;5;1;0;9;7
3;1;4;1;0;7;5
3;1;4;2;0;7;5
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
4;4;4;2;1;6;4
3;1;3;1;0;5;5
4;2;4;2;1;6;4
5;2;4;2;1;8;6
4;2;5;2;1;8;6
4;2;5;2;1;8;6
4;2;3;1;0;7;5
3;1;4;3;0;7;5
4;2;4;4;1;6;4
5;2;4;4;2;8;6
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
4;2;4;4;1;6;4
3;1;3;1;0;5;5
4;2;4;2;1;6;4
5;2;4;2;1;8;6
4;2;4;2;1;6;4
4;2;3;1;0;7;5
4;3;3;1;0;7;5
4;4;4;2;1;6;4
4;4;5;2;2;8;6
3;1;4;3;0;7;5
