size1;fvcnt1;size2;fvcnt2;cmnfvcnt;size;minsize
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;2;4;2;1;10;8
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
4;3;3;2;2;6;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
3;2;3;2;1;5;4
8;2;4;2;2;14;8
34;2;4;1;1;66;32
8;1;4;2;1;10;8
7;1;182;3;1;365;185
8;2;4;2;2;14;8
34;2;4;1;1;66;32
8;1;4;2;1;10;8
7;1;182;3;1;365;185
7;2;7;3;1;19;14
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
5;1;6;2;1;9;5
7;2;7;3;2;9;5
5;1;6;2;1;9;5
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
5;1;6;2;1;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
7;2;7;3;1;19;14
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
5;1;6;2;1;9;5
7;2;7;3;2;9;5
5;1;6;2;1;9;5
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
5;1;6;2;1;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
7;2;7;3;1;19;14
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;3;7;2;2;9;8
7;3;7;2;2;9;8
5;1;6;2;1;9;5
7;2;7;3;2;9;5
5;1;6;2;1;9;5
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
5;1;6;2;1;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;2;7;3;1;19;14
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
5;1;6;2;1;9;5
7;2;7;3;2;9;5
5;1;6;2;1;9;5
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
5;1;6;2;1;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;2;7;3;1;19;14
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
7;3;7;2;2;9;8
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
5;1;6;2;1;9;5
7;2;7;3;2;9;5
5;1;6;2;1;9;5
7;3;7;2;2;9;8
7;2;7;3;2;9;5
7;2;7;3;2;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
5;1;6;2;1;9;5
24;4;24;5;4;31;17
28;4;47;5;4;68;46
