size1;fvcnt1;size2;fvcnt2;cmnfvcnt;size;minsize
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;2;3;3;2;5;3
4;3;4;3;3;9;9
65;4;3;2;1;129;128
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
7;2;4;2;2;11;9
5;2;4;2;2;8;8
15;2;8;2;2;23;23
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;2;3;3;2;5;3
6;2;4;2;2;8;8
6;2;4;2;2;8;8
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
13;12;28;7;6;305;294
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
4;3;4;3;3;9;9
65;4;3;2;1;129;128
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
11;4;29;4;2;197;197
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;2;3;3;2;5;3
7;2;4;2;2;11;9
5;2;4;2;2;8;8
15;2;8;2;2;23;23
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;3;3;2;2;5;3
6;2;4;2;2;8;8
6;2;4;2;2;8;8
3;2;3;2;2;4;3
3;2;3;2;1;5;3
3;2;3;3;2;5;3
13;12;28;7;6;305;294
20;4;12;3;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
20;4;12;3;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
20;4;12;3;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
20;4;12;3;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
20;4;12;3;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
20;4;12;3;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
12;3;20;4;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
12;3;20;4;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
20;4;12;3;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
20;4;12;3;3;26;24
20;5;12;4;4;26;24
11;3;13;3;3;15;14
13;3;14;3;3;16;15
20;4;11;3;3;24;23
22;4;23;4;4;27;24
