size1;fvcnt1;size2;fvcnt2;cmnfvcnt;size;minsize
4;2;-1;0;0;5;1
1;0;-1;0;0;1;1
8;3;-1;0;0;8;4
4;2;-1;0;0;5;3
3;1;-1;0;0;3;1
20;4;-1;0;0;16;8
8;3;-1;0;0;8;4
4;2;-1;0;0;5;3
3;1;-1;0;0;3;1
48;5;-1;0;0;35;20
20;4;-1;0;0;16;8
8;3;-1;0;0;8;4
4;2;-1;0;0;5;3
3;1;-1;0;0;3;1
111;6;-1;0;0;77;48
48;5;-1;0;0;35;20
20;4;-1;0;0;16;8
8;3;-1;0;0;8;4
4;2;-1;0;0;5;3
3;1;-1;0;0;3;1
250;7;-1;0;0;168;64
64;6;-1;0;0;50;33
33;5;-1;0;0;18;17
17;4;-1;0;0;10;9
9;3;-1;0;0;6;5
5;2;-1;0;0;4;3
3;1;-1;0;0;3;1
553;8;-1;0;0;363;128
128;7;-1;0;0;98;64
64;6;-1;0;0;50;33
33;5;-1;0;0;18;17
17;4;-1;0;0;10;9
9;3;-1;0;0;6;5
5;2;-1;0;0;4;3
3;1;-1;0;0;3;1
1208;9;-1;0;0;778;256
256;8;-1;0;0;194;129
129;7;-1;0;0;66;65
65;6;-1;0;0;34;33
33;5;-1;0;0;18;17
17;4;-1;0;0;10;9
9;3;-1;0;0;6;5
5;2;-1;0;0;4;3
3;1;-1;0;0;3;1
2615;10;-1;0;0;1657;512
512;9;-1;0;0;386;257
257;8;-1;0;0;130;129
129;7;-1;0;0;66;65
65;6;-1;0;0;34;33
33;5;-1;0;0;18;17
17;4;-1;0;0;10;9
9;3;-1;0;0;6;5
5;2;-1;0;0;4;3
3;1;-1;0;0;3;1
5622;11;-1;0;0;3512;1024
1024;10;-1;0;0;770;513
513;9;-1;0;0;258;257
257;8;-1;0;0;130;129
129;7;-1;0;0;66;65
65;6;-1;0;0;34;33
33;5;-1;0;0;18;17
17;4;-1;0;0;10;9
9;3;-1;0;0;6;5
5;2;-1;0;0;4;3
3;1;-1;0;0;3;1
12021;12;-1;0;0;7415;2048
2048;11;-1;0;0;1538;1025
